,ID,Customer_id,Interaction,UID,zip,Lat,Lng,City,State,Population,County,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,fav_color,Credit_card,Churn,Gender,SeniorCitizen,Contract,Partner,Depend,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,TotalCharge,item1,item2,item3,item4,item5,item6,item7,item8 
408,408,K702957,c06e5836-fe7e-4591-b191-62a9e17b4347,7347ccf45d1c4b3014b96539ee3b3e9c,79342,32.90819,-102.33659,Loop,TX,450,Gaines,Rural,America/Chicago,"Teacher, primary school",2,44,Regular High School Diploma,Full Time,40014.08,Divorced,ForestGreen,VISA 13 digit,Yes,Female,No,Two Year,No,No,Fiber Optic,1,No,Yes,Yes,No,NA,Yes,No,No,Mailed Check,13.46565415,89.92115858,1150.703036,3,3,4,3,3,2,3,1
409,409,U27325,e57a8a1e-56b6-4b35-9591-b021b8f0a864,f718254bc26f1a9b4f535f2c229e53dc,60112,41.92432,-88.69089,Cortland,IL,4356,DeKalb,Rural,America/Chicago,Translator,3,49,Bachelor's Degree,Full Time,30858.24,Married,OrangeRed,Maestro,Yes,Male,No,Month-to-month,No,Yes,Fiber Optic,1,No,No,Yes,Yes,0,Yes,No,Yes,Bank Transfer(automatic),19.244458,90.19451412,1768.291504,2,1,2,3,3,1,1,2
410,410,N804575,85c8021d-5bfd-41aa-97e3-3c9807ef1a3c,504cf0bbf5a9d2f2df509feaa4c56bf6,53190,42.80598,-88.73329,Whitewater,WI,19279,Walworth,Suburban,America/Chicago,Recruitment consultant,3,30,"9th Grade to 12th Grade, No Diploma",Part Time,33154.12,Widowed,DarkOrange,JCB 16 digit,No,Male,No,Two Year,No,Yes,Fiber Optic,1,Yes,Yes,No,Yes,0,Yes,Yes,Yes,Bank Transfer(automatic),8.69085131,97.66632301,788.0653652,2,3,2,2,4,2,2,2
411,411,P54060,d24cabe2-5528-4749-b782-6ab9822bd610,eb48eec61e4987df321af45742dfcd1d,46911,40.62983,-85.94546,Amboy,IN,1308,Miami,Urban,America/Indiana/Indianapolis,"Clinical scientist, histocompatibility and immunogenetics",2,24,Regular High School Diploma,Part Time,30615.22,Divorced,Black,Mastercard,Yes,Male,No,Two Year,No,No,DSL,1,Yes,No,No,Yes,1,No,Yes,No,Bank Transfer(automatic),3.778575882,104.0062051,425.298067,3,2,3,2,2,3,2,1
412,412,L363925,67d145e1-f200-4feb-8561-fbb89036ff55,b745b0f2735c2d57efb2f24f19405428,74865,34.60481,-96.79563,Roff,OK,1791,Pontotoc,Rural,America/Chicago,Higher education careers adviser,0,45,Bachelor's Degree,Full Time,39656.91,Never Married,Yellow,Diners Club / Carte Blanche,Yes,Female,No,Month-to-month,No,No,DSL,1,Yes,Yes,Yes,Yes,NA,No,No,Yes,Credit Card (automatic),10.27819073,104.5127526,1017.382996,1,2,2,3,2,2,2,3
413,413,S253484,5410d1fa-db58-48b1-9abb-8e320bbfa217,9b4b74bfff7a42be0c0aeebea0751f5c,28606,36.05344,-81.31881,Boomer,NC,1689,Wilkes,Rural,America/New_York,"Administrator, sports",1,65,Bachelor's Degree,Student,14583.35,Married,Orange,JCB 15 digit,Yes,Female,Yes,One year,No,No,Fiber Optic,1,No,No,No,No,0,No,No,Yes,Bank Transfer(automatic),NA,80.26262123,330.5730803,3,1,2,2,3,0,4,3
414,414,A859738,4ac67051-6d91-4f16-96d6-ff6293fcf1a5,01a7a5ae5a2f5b20b34130316646c6ec,83851,47.29938,-116.91039,Plummer,ID,1938,Benewah,Suburban,America/Los_Angeles,Osteopath,3,64,Nursery School to 8th Grade,Retired,50416.87,Married,DarkOrchid,JCB 16 digit,No,Female,Yes,Two Year,Yes,No,Fiber Optic,1,Yes,Yes,Yes,No,0,Yes,No,Yes,Mailed Check,11.32083915,94.04879796,1013.180306,2,2,3,2,4,2,1,2
415,415,R548809,3fcd2d4a-372a-4c00-8edc-7c0010098e23,309a2b21b9b0fa000b27de957ee8c795,62223,38.53614,-90.0598,Belleville,IL,16309,St. Clair,Rural,America/Chicago,Insurance risk surveyor,0,22,Nursery School to 8th Grade,Part Time,45743.47,Separated,SlateBlue,Voyager,No,Male,No,Two Year,No,No,Fiber Optic,1,No,No,Yes,No,1,Yes,No,No,Electronic Check,5.254442453,89.30076301,491.2299999,1,1,2,2,3,1,0,1
416,416,U138913,fe549423-d5d8-4279-8749-3645f47a98ea,13bd63a2ccf06ec0d339740eff3c30b0,21705,39.40889,-77.41004,Frederick,MD,0,Frederick,Urban,America/New_York,Special effects artist,0,77,Nursery School to 8th Grade,Student,60543.78,Divorced,PeachPuff,Diners Club / Carte Blanche,No,Female,No,Two Year,No,No,None,1,No,No,No,Yes,NA,Yes,Yes,No,Credit Card (automatic),5.2551003,127.6908165,487.5049167,2,3,2,5,0,4,3,3
417,417,M244790,e7b651a0-1f1a-4727-b46d-085360edf767,0d09dba84d8e231e3028e642640bcad9,75117,32.71183,-95.85077,Edgewood,TX,3776,Van Zandt,Suburban,America/Chicago,Brewing technologist,4,54,"Some College, 1 or More Years, No Degree",Full Time,26216.52,Separated,RosyBrown,JCB 16 digit,Yes,Male,No,Month-to-month,No,Yes,DSL,1,No,No,Yes,No,1,No,No,Yes,Mailed Check,6.417132666,97.24465871,601.0071595,3,2,3,1,4,2,3,2
418,418,W610913,db9ed2e0-a505-422e-848f-b7a18d5d6fe5,46e92c796b79303bbc8899925ccf5272,71770,33.3894,-93.31801,Waldo,AR,3591,Columbia,Rural,America/Chicago,Quantity surveyor,1,42,Professional School Degree,Full Time,11512.33,Never Married,Beige,Diners Club / Carte Blanche,No,Male,No,Two Year,Yes,No,Fiber Optic,1,Yes,Yes,No,No,0,No,No,Yes,Electronic Check,NA,85.81061751,1566.84942,1,2,2,0,3,2,2,2
419,419,H932939,6e53fc67-fa57-4282-8f2e-57f56a971269,32700448bacb8e788c4359e75358494f,14854,42.50577,-76.6148,Jacksonville,NY,13,Tompkins,Suburban,America/New_York,Sports administrator,1,86,"9th Grade to 12th Grade, No Diploma",Full Time,36806.32,Separated,DarkGreen,Discover,Yes,Female,No,One year,Yes,No,Fiber Optic,1,Yes,Yes,No,Yes,1,No,Yes,No,Electronic Check,4.924623699,95.57488881,460.9682541,2,1,2,4,0,2,3,4
420,420,X00931,928a07b5-56d8-4fec-8361-75ac949631ea,a956835743860fcf14853087972094bd,68310,40.25097,-96.74956,Beatrice,NE,13749,Gage,Urban,America/Chicago,"Designer, ceramics/pottery",0,52,Bachelor's Degree,Full Time,31815.84,Separated,Orchid,Voyager,Yes,Male,No,Two Year,Yes,No,Fiber Optic,1,No,No,Yes,No,0,No,Yes,Yes,Electronic Check,6.325942162,87.90663737,532.6636938,3,4,3,2,2,4,2,3
421,421,P218828,7127ce21-5db7-49f2-bdf8-8c044c99f4df,d31b7c73719ab89702fb33fbe17de0d7,98638,46.38955,-123.74334,Naselle,WA,1296,Pacific,Suburban,America/Los_Angeles,"Nurse, learning disability",1,27,Bachelor's Degree,Retired,34582.99,Divorced,Tan,JCB 15 digit,Yes,Female,Yes,One year,No,No,DSL,1,No,No,Yes,Yes,0,Yes,No,Yes,Electronic Check,NA,100.9639921,1809.896894,2,4,3,2,4,2,2,2
422,422,P365450,75a3a73c-ff99-445f-bbae-85e4272f6279,e7f1935f81c1cef27662ba75961d92f9,65732,37.94131,-93.16162,Preston,MO,994,Hickory,Rural,America/Chicago,Freight forwarder,4,59,Nursery School to 8th Grade,Full Time,62172.26,Married,NavajoWhite,VISA 13 digit,No,Male,No,One year,Yes,No,DSL,1,No,No,Yes,Yes,0,No,Yes,No,Bank Transfer(automatic),3.238699239,101.6584776,253.5835496,1,3,2,1,4,1,2,0
423,423,R912808,271923e3-928b-46dd-be4f-09695103f056,6f228393de632a4a0e2dcf7f46c77f53,90048,34.07299,-118.37264,Los Angeles,CA,22892,Los Angeles,Urban,America/Los_Angeles,"Engineer, broadcasting (operations)",3,64,"9th Grade to 12th Grade, No Diploma",Full Time,26644.77,Widowed,Orange,JCB 15 digit,Yes,Male,Yes,Month-to-month,No,No,DSL,1,No,No,No,Yes,0,Yes,Yes,Yes,Electronic Check,6.437878909,103.7464924,695.4378719,2,2,2,3,2,2,3,2
424,424,J883265,b887c433-3112-4150-adf5-1bd25e36a03d,24989aec63db7e16287478cfe5e5ca2d,85360,34.70927,-113.56826,Wikieup,AZ,156,Mohave,Urban,America/Phoenix,Retail buyer,0,33,Nursery School to 8th Grade,Full Time,23593.15,Married,LightBlue,VISA 16 digit,Yes,Male,No,Month-to-month,Yes,No,Fiber Optic,1,No,No,Yes,Yes,0,No,Yes,No,Bank Transfer(automatic),15.22323989,88.08918544,1397.262133,3,3,4,2,1,4,4,4
425,425,L161656,abb8c394-61d1-49bf-b440-a13d4be0a2ed,f7c5c9d00b521038daee676da681a85a,78343,27.6194,-97.74459,Bishop,TX,4278,Nueces,Urban,America/Chicago,Retail merchandiser,3,80,Regular High School Diploma,Full Time,32582.32,Separated,IndianRed,Discover,Yes,Male,No,One year,Yes,No,Fiber Optic,1,No,No,No,Yes,0,No,No,Yes,Credit Card (automatic),7.484425045,83.44714821,614.747346,2,2,2,3,3,4,4,2
426,426,O412044,44f68827-3108-4502-8a94-1f17c290ab9a,22e849dec9ae72c41ba9bdd21864fcaa,62084,38.83658,-90.06238,Roxana,IL,1464,Madison,Urban,America/Chicago,Public relations officer,4,43,Nursery School to 8th Grade,Full Time,132283.69,Widowed,LightCyan,VISA 16 digit,No,Male,No,Month-to-month,Yes,No,Fiber Optic,0,No,No,Yes,No,0,Yes,Yes,No,Bank Transfer(automatic),7.218752772,93.49082875,654.0449808,3,3,4,3,1,5,3,4
427,427,X299129,41a00e62-91a2-4522-aa31-4af2db9f1e91,3fed94d4f74dc3710375189e58baec60,5734,43.98209,-73.33021,Bridport,VT,1407,Addison,Suburban,America/New_York,Diplomatic Services operational officer,0,67,Associate's Degree,Full Time,61562.71,Married,CadetBlue,VISA 16 digit,Yes,Male,No,Month-to-month,Yes,No,Fiber Optic,1,No,No,Yes,Yes,0,No,No,No,Mailed Check,11.69875604,84.20332493,930.8239188,2,2,3,3,3,2,3,2
428,428,O987713,f564e4fa-ddba-461c-a76e-f66c613da651,853e5495d9a5efd6078163c0f4f67c58,17033,40.2732,-76.63536,Hershey,PA,17568,Dauphin,Rural,America/New_York,"Conservator, furniture",2,77,Regular High School Diploma,Retired,54489.2,Never Married,LightCyan,Diners Club / Carte Blanche,Yes,Male,No,Month-to-month,Yes,No,DSL,1,No,Yes,No,Yes,0,No,Yes,No,Bank Transfer(automatic),10.03363969,100.9380981,1016.956339,2,2,1,3,2,3,3,4
429,429,I415253,659cec1b-2385-4369-9822-0b058dc913b9,101e69f54e2db162f4f731a97d36ab68,3293,43.97001,-71.67824,Woodstock,NH,195,Grafton,Rural,America/New_York,"Conservator, museum/gallery",0,64,Associate's Degree,Retired,18577.82,Divorced,Cyan,JCB 16 digit,Yes,Male,No,Two Year,Yes,No,Fiber Optic,1,No,Yes,No,Yes,0,Yes,No,Yes,Electronic Check,NA,89.24706737,1606.564682,2,3,3,3,2,3,2,3
430,430,L983845,60bc84f1-11db-40ec-88cc-a0befab5e5ad,eb2ccd0ba557f5cb3b2d0eaa17e07793,55967,43.79517,-92.51341,Racine,MN,1147,Mower,Suburban,America/Chicago,Food technologist,0,48,"Some College, 1 or More Years, No Degree",Full Time,81533.62,Never Married,AntiqueWhite,Mastercard,Yes,Male,No,Month-to-month,Yes,No,None,1,No,No,No,Yes,1,No,No,Yes,Credit Card (automatic),16.52138638,85.08220127,1511.406495,2,3,3,3,2,2,3,3
431,431,G661518,d168af12-f41e-4157-9da9-75790e9c95ef,8b944f855f7b5082a635c3967f3537e1,84180,40.77044,-111.9011,Salt Lake City,UT,0,Salt Lake,Urban,America/Denver,"Biochemist, clinical",0,49,Regular High School Diploma,Part Time,17330.56,Widowed,MistyRose,Diners Club / Carte Blanche,Yes,Female,No,Month-to-month,No,No,None,NA,No,No,No,No,0,No,Yes,Yes,Credit Card (automatic),13.83290937,84.83456082,1091.39437,0,0,1,2,3,1,3,1
432,432,Z511670,462d1fad-aa13-4850-9fd9-eb3c845edbf8,b9fd7d1358c2164dfcac7ab101a19aef,79247,34.32984,-99.40915,Odell,TX,68,Wilbarger,Suburban,America/Chicago,Press photographer,2,22,Bachelor's Degree,Retired,66383.74,Widowed,BurlyWood,Voyager,Yes,Male,No,Month-to-month,No,Yes,Fiber Optic,1,No,Yes,Yes,Yes,0,No,Yes,Yes,Mailed Check,5.02568958,93.61995974,409.9282032,4,4,5,2,2,3,4,4
433,433,I745729,daa5e8b7-dda0-4b7a-86d7-9f3d47a77cd8,642f5802b9843f03082024859a76d4db,27589,36.33758,-78.1291,Warrenton,NC,8155,Warren,Urban,America/New_York,Government social research officer,1,42,"Some College, Less than 1 Year",Full Time,43114.13,Separated,Violet,VISA 16 digit,No,Male,No,Month-to-month,Yes,No,Fiber Optic,1,No,No,Yes,No,0,No,No,No,Mailed Check,2.644787483,82.35760164,195.1827893,3,2,2,2,4,3,2,2
434,434,K814248,4cf5abf8-49a7-431a-a03f-6bcbc4c0683f,b128db06da782a6d979aad0ac25ab22d,61016,42.19809,-88.94722,Cherry Valley,IL,4962,Winnebago,Rural,America/Chicago,Educational psychologist,9,87,Bachelor's Degree,Student,55434.27,Widowed,Navy,Diners Club / Carte Blanche,No,Male,No,Month-to-month,No,Yes,None,1,Yes,No,Yes,Yes,0,No,Yes,Yes,Electronic Check,2.522962069,93.38329088,147.9264689,2,2,2,3,3,2,2,3
435,435,K719786,80b807a8-0329-4401-9d0f-adb76e51fc97,8fd68d92bf5a13eb3b134ee21825664f,56173,43.52477,-96.24595,Steen,MN,357,Rock,Suburban,America/Chicago,Solicitor,4,18,"9th Grade to 12th Grade, No Diploma",Full Time,126755.07,Married,DarkSlateBlue,American Express,No,Female,No,Month-to-month,Yes,No,Fiber Optic,0,Yes,No,No,Yes,0,No,Yes,Yes,Credit Card (automatic),3.508974199,89.07831651,231.1936153,3,5,2,3,3,3,2,3
436,436,Y874048,5d538e4b-3153-49f5-ba55-563b01a10df2,72fed10a7d53148039c6e8e5e596143b,60084,42.26788,-88.14094,Wauconda,IL,16612,Lake,Urban,America/Chicago,Make,1,78,Bachelor's Degree,Unemployed,48302.56,Separated,BurlyWood,JCB 16 digit,No,Female,Yes,Month-to-month,No,No,Fiber Optic,1,No,No,No,Yes,0,Yes,No,No,Electronic Check,11.50651216,87.12556265,992.8867558,4,4,2,3,3,3,2,3
437,437,A940721,8e0996e5-5140-42af-8a8f-892b525f464c,8d6f89059fc52b95ed3a7ac6cad3128a,616,18.41753,-66.66814,Bajadero,PR,10765,Arecibo,Rural,America/Puerto_Rico,"Nurse, children's",6,45,"Some College, 1 or More Years, No Degree",Full Time,20196.45,Married,LavenderBlush,JCB 16 digit,Yes,Female,No,One year,Yes,Yes,None,1,No,Yes,No,Yes,0,No,No,Yes,Mailed Check,10.96319721,84.30666923,924.6425221,4,5,3,3,2,4,4,3
438,438,V402063,2b9757a1-45e6-4930-9686-1c0ec859fd22,3dbadc28a5c90b50f24a14c5eedaef89,14219,42.78893,-78.82691,Buffalo,NY,12092,Erie,Urban,America/New_York,Animator,0,59,Bachelor's Degree,Retired,36207.17,Divorced,Yellow,JCB 15 digit,Yes,Male,No,Two Year,Yes,No,None,1,Yes,Yes,Yes,Yes,0,Yes,Yes,No,Credit Card (automatic),5.505247606,100.2502059,483.9396068,2,2,1,4,3,2,2,2
439,439,D770283,1f464222-e59b-4b9a-8ddf-a5a2bba3d83b,d0499be90d158aabe7dbbd8dfa11d050,47104,38.53994,-85.42094,Bethlehem,IN,38,Clark,Suburban,America/New_York,Horticultural therapist,0,23,Regular High School Diploma,Part Time,41759.37,Widowed,Sienna,VISA 13 digit,Yes,Female,No,Two Year,No,No,Fiber Optic,1,Yes,No,No,No,0,Yes,No,No,Bank Transfer(automatic),14.16961729,120.402135,1379.316543,3,3,3,2,3,1,1,2
440,440,Y701439,5f0cae17-d130-4856-ba21-4cae84776f48,fe499f427f9b702b1cf12efc2dc5b04d,54922,44.54244,-88.74308,Bear Creek,WI,1347,Outagamie,Suburban,America/Chicago,Drilling engineer,2,18,"9th Grade to 12th Grade, No Diploma",Full Time,37347.24,Widowed,Lavender,American Express,Yes,Female,No,Two Year,Yes,Yes,Fiber Optic,1,Yes,Yes,No,Yes,1,No,Yes,Yes,Electronic Check,10.27782059,94.50892245,1043.61495,3,2,3,3,3,1,3,2
441,441,Z281810,ef6c642f-dd06-4663-b239-41b5814f8bdb,f7edc78531df80f43abd1064a6c8d646,96110,41.29329,-120.09354,Eagleville,CA,161,Modoc,Urban,America/Los_Angeles,Corporate investment banker,5,45,"Some College, 1 or More Years, No Degree",Full Time,26331.27,Married,RosyBrown,VISA 16 digit,Yes,Female,No,Month-to-month,No,Yes,Fiber Optic,1,No,Yes,Yes,Yes,NA,Yes,Yes,No,Electronic Check,3.364993591,97.17602692,362.6395659,2,3,3,2,2,2,2,3
442,442,O403114,5614da34-b493-4621-9431-99eb26bca33c,c90a83599bc2189bd575d9b7cad9c406,92104,32.74153,-117.12807,San Diego,CA,45202,San Diego,Suburban,America/Los_Angeles,Higher education careers adviser,0,50,Regular High School Diploma,Part Time,3557.87,Divorced,LightCoral,Discover,Yes,Male,No,Month-to-month,No,No,DSL,1,Yes,Yes,No,No,0,No,No,Yes,Electronic Check,9.307770559,98.60255783,963.9783693,2,3,3,3,3,2,4,2
443,443,B442948,028179e2-b855-4110-afab-6cbee7258233,ba6a694232bb6810a54678514fcdfc8e,58790,48.03417,-100.92963,Velva,ND,1770,McHenry,Urban,America/Chicago,Petroleum engineer,0,53,Bachelor's Degree,Full Time,25814.52,Married,DarkTurquoise,JCB 15 digit,No,Male,Yes,Month-to-month,No,Yes,Fiber Optic,0,Yes,No,No,Yes,0,Yes,No,Yes,Bank Transfer(automatic),1.171557288,89.45829616,157.45544,3,4,2,4,2,4,3,2
444,444,H620644,656d3078-7812-4706-b4d5-a10e40c148ee,7e572cb7d6d0ebe14f550764f218a951,3849,43.90045,-71.13378,Madison,NH,1462,Carroll,Urban,America/New_York,Meteorologist,7,37,"Some College, 1 or More Years, No Degree",Retired,148202.89,Separated,LightGray,Maestro,Yes,Male,No,Month-to-month,Yes,No,DSL,0,Yes,No,Yes,Yes,1,Yes,Yes,No,Credit Card (automatic),7.262579715,113.6903566,824.2851318,2,2,1,3,2,3,2,3
445,445,N573961,b841ea2b-a6ec-4126-8fd2-720ab4e7f340,427fb965d2c2c6ce00f3c22a66fada0b,43311,40.36589,-83.75613,Bellefontaine,OH,18946,Logan,Urban,America/New_York,"Scientist, product/process development",2,74,Master's Degree,Full Time,11164.7,Married,MediumSlateBlue,VISA 16 digit,Yes,Male,No,Month-to-month,No,Yes,None,1,No,Yes,Yes,No,0,No,No,No,Bank Transfer(automatic),17.06899012,84.62222619,1452.06017,2,2,1,1,5,1,1,1
446,446,I403839,f4b768ec-b4d5-48f2-b33d-2b38f3089944,bbf469c4d77e678e4b1510b429ef75ec,38575,36.55959,-85.63683,Moss,TN,1054,Clay,Rural,America/Chicago,Electrical engineer,1,40,"9th Grade to 12th Grade, No Diploma",Full Time,23303.34,Separated,HoneyDew,JCB 15 digit,Yes,Female,No,Month-to-month,Yes,No,DSL,1,No,Yes,Yes,Yes,NA,No,Yes,No,Electronic Check,10.8600084,105.4212533,1069.457842,2,3,2,3,1,3,3,1
447,447,F812880,112ba375-a476-44f7-9166-65bd1b24edb9,902b4abec3b13c907b96133c07255ab3,28450,34.32535,-78.51763,Lake Waccamaw,NC,2596,Columbus,Urban,America/New_York,"Accountant, chartered certified",4,45,Bachelor's Degree,Full Time,58139.41,Divorced,Beige,JCB 16 digit,No,Male,No,One year,No,No,Fiber Optic,0,Yes,No,No,No,0,Yes,Yes,No,Electronic Check,16.48065356,92.59437913,1508.496204,2,3,2,3,3,2,2,2
448,448,L74134,5d62011e-b5c7-41e4-8010-49a96e8b675d,2e52ab6adcf09d24b2ba8df70889df20,34681,28.08779,-82.77797,Crystal Beach,FL,775,Pinellas,Rural,America/New_York,Risk analyst,8,80,Bachelor's Degree,Student,25300.57,Divorced,SkyBlue,VISA 16 digit,Yes,Female,No,Two Year,No,No,DSL,1,Yes,No,No,No,0,No,No,Yes,Mailed Check,10.85041661,94.72838094,1031.181475,2,3,2,3,3,0,2,1
449,449,B255311,fe997164-d82c-4624-90f5-0e6d3904c08d,8e083b52107695b8bb79af52efc4c53f,55615,47.73504,-90.83271,Tofte,MN,190,Cook,Urban,America/Chicago,"Sales professional, IT",4,50,Nursery School to 8th Grade,Retired,6743.33,Married,Coral,Mastercard,Yes,Female,No,Month-to-month,No,No,DSL,1,No,No,No,No,0,No,Yes,Yes,Bank Transfer(automatic),4.85576672,95.29329245,447.0114527,2,2,3,1,3,2,1,3
450,450,O764702,e9ffed23-3d6d-44da-a1aa-9a8bea8b176e,b318ce64dfd7b53c47d79f7a4968da69,2462,42.32988,-71.25607,Newton Lower Falls,MA,1420,Middlesex,Urban,America/New_York,Community pharmacist,0,30,"9th Grade to 12th Grade, No Diploma",Full Time,59372.62,Widowed,BlueViolet,Diners Club / Carte Blanche,No,Male,No,Month-to-month,No,Yes,Fiber Optic,0,Yes,No,No,Yes,1,No,No,Yes,Electronic Check,1.715329149,85.68034586,132.8105922,2,3,2,3,1,4,4,2
451,451,D269899,e67440f5-e5b2-4f2a-9102-3d6bad0cf160,f96c368e257b67f966746bc8e0f46968,59255,48.2446,-105.16804,Poplar,MT,3487,Roosevelt,Rural,America/Denver,Herbalist,2,56,GED or Alternative Credential,Part Time,19174.62,Divorced,DarkSalmon,American Express,No,Male,No,One year,Yes,No,Fiber Optic,0,Yes,No,No,Yes,1,No,No,Yes,Electronic Check,21.71097206,120.8722105,1947.916351,2,2,2,2,2,2,3,1
452,452,W291881,57ba061e-cb58-4ae2-a879-b782097164d6,8eb420c28280a07c5283e9605e004a48,50144,40.73871,-93.74101,Leon,IA,2713,Decatur,Urban,America/Chicago,Barista,1,29,"Some College, Less than 1 Year",Retired,36830.26,Widowed,Ivory,JCB 16 digit,No,Female,No,Month-to-month,Yes,No,Fiber Optic,NA,Yes,No,Yes,Yes,0,No,No,Yes,Credit Card (automatic),3.470685398,88.13481186,257.6380961,2,2,2,3,1,4,3,1
453,453,L409845,59a8e3eb-969c-4afb-9b86-db70be9c60b3,fc9cacee62d0873cab2626cde863fa68,2053,42.15352,-71.42904,Medway,MA,13244,Norfolk,Rural,America/New_York,Product designer,5,54,Nursery School to 8th Grade,Full Time,37611.06,Never Married,LightYellow,Voyager,Yes,Female,No,One year,No,No,Fiber Optic,1,No,No,Yes,No,0,No,No,No,Electronic Check,1.914386255,81.93380915,108.6976835,2,2,3,2,2,2,3,4
454,454,L647810,f5b2378a-7f48-4469-89d1-eadb67002d57,779667a30225df7f3430c89641f0220c,95567,41.94978,-124.11185,Smith River,CA,2066,Del Norte,Urban,America/Los_Angeles,Financial manager,0,56,Nursery School to 8th Grade,Full Time,27450.66,Divorced,LightGoldenRodYellow,VISA 16 digit,No,Male,No,Two Year,Yes,Yes,Fiber Optic,1,Yes,No,Yes,No,0,Yes,No,Yes,Bank Transfer(automatic),9.16272705,89.69555789,877.1763282,3,2,2,3,2,4,3,2
455,455,G97647,48f7979b-b0e0-4bb9-9c6d-adc31a63256e,e96e47e411255b863b3f83c1edf334ac,65053,38.54132,-92.37149,Lohman,MO,1687,Cole,Rural,America/Chicago,Fitness centre manager,3,72,Regular High School Diploma,Full Time,54101.7,Widowed,Orchid,VISA 16 digit,Yes,Female,No,Two Year,Yes,No,DSL,1,Yes,No,Yes,No,0,Yes,No,Yes,Credit Card (automatic),7.457173484,102.8968644,782.4858724,4,5,3,2,3,4,4,4
456,456,F519639,322bd720-817e-44b8-8fec-6a8b20f07b9b,292e496a1118d6218a6c7f03fbfe0dbb,37656,36.39878,-82.62985,Fall Branch,TN,3901,Sullivan,Suburban,America/New_York,"Editor, film/video",0,58,"Some College, Less than 1 Year",Full Time,44320.02,Separated,Violet,VISA 16 digit,Yes,Male,No,Month-to-month,Yes,No,None,1,No,Yes,Yes,Yes,0,Yes,Yes,Yes,Bank Transfer(automatic),4.991605214,98.50120351,407.2164829,4,3,3,1,1,3,3,3
457,457,J291465,4afd492a-4a47-4ca3-9f04-c6c5d6a699c4,75a07484dacbe2ea78ab0a5a9e8e7a48,96789,21.47829,-157.97471,Mililani,HI,53734,Honolulu,Suburban,Pacific/Honolulu,Public affairs consultant,2,67,Nursery School to 8th Grade,Full Time,58261.63,Married,DimGray,Maestro,Yes,Male,No,Month-to-month,Yes,No,None,1,No,No,No,No,0,Yes,Yes,Yes,Electronic Check,10.5903229,90.94193112,954.0249802,2,3,2,2,3,3,3,3
458,458,V170205,61201d41-d2ef-4cc4-8fac-a2e340b0d877,0466537238a2cee42b611a6aad4284f4,73109,35.43313,-97.52463,Oklahoma City,OK,23144,Oklahoma,Suburban,America/Chicago,"Journalist, broadcasting",1,19,Master's Degree,Full Time,12474.48,Married,SteelBlue,JCB 15 digit,No,Male,No,Month-to-month,Yes,Yes,Fiber Optic,1,No,No,No,Yes,0,No,Yes,No,Electronic Check,14.68216127,87.86383676,1198.574102,2,2,1,2,2,2,3,3
459,459,Y172017,eb0fa2f0-5929-4918-8b4e-e2f572bd5113,88c495919a4e41861382f2f6bb004a9d,58356,47.67331,-99.07126,New Rockford,ND,1755,Eddy,Suburban,America/Chicago,Town planner,1,26,Master's Degree,Retired,48496.96,Married,DarkGray,VISA 16 digit,No,Male,No,Month-to-month,No,No,None,NA,Yes,No,No,No,0,No,No,Yes,Electronic Check,5.440398012,81.60407823,408.1662574,2,2,2,2,3,1,3,3
460,460,E996692,21e3dc11-f289-4472-a3b6-5b80a6d8143d,2224f5019e4fbc8466fdb33126988d66,53069,43.11374,-88.43301,Okauchee,WI,633,Waukesha,Rural,America/Chicago,Systems analyst,4,28,Bachelor's Degree,Part Time,40285.82,Married,DarkGray,JCB 16 digit,Yes,Male,No,Month-to-month,Yes,Yes,Fiber Optic,1,Yes,No,Yes,No,1,No,No,Yes,Bank Transfer(automatic),11.92300936,86.56774076,1008.813738,3,3,2,2,3,2,4,1
461,461,J207539,64f280af-87e2-4b00-a9f6-57fd695dd076,0eb36103f95465c084a14c497461942d,8031,39.86668,-75.0945,Bellmawr,NJ,11415,Camden,Suburban,America/New_York,Clinical cytogeneticist,0,80,Regular High School Diploma,Full Time,27659.82,Separated,Gray,Maestro,No,Male,No,Month-to-month,Yes,No,Fiber Optic,1,Yes,No,No,No,1,Yes,Yes,Yes,Bank Transfer(automatic),NA,93.21909597,947.5534528,2,2,2,3,3,1,2,2
462,462,I797960,4f4e80b4-e42d-447b-9271-fa945fb354bb,ccabe512f19b36f756252da9db826da5,24601,37.19378,-81.64921,Amonate,VA,25,Tazewell,Suburban,America/New_York,Dramatherapist,1,19,GED or Alternative Credential,Full Time,10049.48,Separated,DarkSalmon,Mastercard,Yes,Male,No,Two Year,No,No,None,1,No,Yes,No,No,1,No,No,No,Bank Transfer(automatic),13.90000955,84.29950661,1144.820599,3,3,4,3,4,2,3,2
